sep=;
hour;passengerId;arrivalFloor;destinationFloor;
08:07:29:;382;0;7;
08:07:41:;383;3;0;
08:07:52:;384;7;0;
08:08:20:;385;7;4;
08:08:36:;386;8;0;
08:08:47:;387;1;0;
08:08:51:;388;5;0;
08:09:03:;389;9;0;
08:09:11:;390;3;0;
08:09:18:;391;4;0;
08:09:21:;392;8;0;
08:09:39:;393;3;0;
08:09:44:;394;6;0;
08:09:52:;395;1;0;
08:09:57:;396;9;0;
08:10:11:;397;1;0;
08:10:37:;398;2;0;
08:11:12:;399;7;0;
08:11:13:;400;5;0;
08:11:37:;401;9;0;
08:11:54:;402;9;0;
08:12:27:;403;9;0;
08:12:30:;404;4;0;
08:12:44:;405;1;0;
08:12:47:;406;3;0;
08:13:18:;407;4;0;
08:13:20:;408;1;0;
08:13:28:;409;5;0;
08:14:01:;410;2;0;
08:14:33:;411;8;0;
08:14:35:;412;1;0;
08:14:37:;413;3;0;
08:14:37:;414;1;0;
08:15:00:;415;6;0;
08:15:08:;416;4;0;
08:15:21:;417;5;0;
08:15:41:;418;4;0;
08:15:54:;419;8;0;
08:17:07:;420;5;0;
08:17:20:;421;9;0;
08:17:31:;422;8;0;
08:18:03:;423;9;0;
08:18:31:;424;5;0;
08:18:48:;425;3;0;
08:19:56:;426;8;0;
08:20:32:;427;0;2;
08:21:27:;428;4;0;
08:21:28:;429;6;0;
08:21:40:;430;4;0;
08:22:06:;431;2;0;
08:22:59:;432;9;0;
08:23:04:;433;3;0;
08:23:11:;434;4;0;
08:23:30:;435;0;6;
08:23:34:;436;6;0;
08:23:45:;437;4;0;
08:24:08:;438;6;0;
08:24:34:;439;2;0;
08:24:36:;440;5;0;
08:24:48:;441;7;0;
08:24:53:;442;8;0;
08:25:39:;443;8;0;
08:26:01:;444;6;4;
08:26:01:;445;0;8;
08:26:01:;446;5;0;
08:26:51:;447;2;0;
08:27:11:;448;1;0;
08:27:16:;449;3;0;
08:27:36:;450;4;0;
08:27:47:;451;3;0;
08:28:44:;452;4;0;
08:29:46:;453;3;0;
08:29:56:;454;6;0;
08:30:11:;455;6;0;
08:30:53:;456;2;5;
08:31:01:;457;2;0;
08:31:31:;458;2;0;
08:31:32:;459;3;0;
08:31:37:;460;4;0;
08:31:48:;461;9;0;
08:32:04:;462;7;0;
08:32:33:;463;3;6;
08:32:36:;464;5;0;
08:32:51:;465;8;0;
08:33:12:;466;4;0;
08:33:27:;467;6;0;
08:33:43:;468;9;0;
08:34:06:;469;6;0;
08:34:28:;470;9;0;
08:34:28:;471;6;0;
08:34:37:;472;1;0;
08:35:21:;473;4;0;
08:35:56:;474;3;0;
08:36:09:;475;8;0;
08:36:17:;476;5;0;
08:36:29:;477;0;4;
08:36:37:;478;0;4;
08:36:39:;479;8;0;
08:36:51:;480;4;0;
08:38:33:;481;4;0;
08:38:42:;482;5;0;
08:38:51:;483;6;0;
08:38:51:;484;5;0;
08:38:54:;485;6;0;
08:38:58:;486;3;0;
08:39:27:;487;0;4;
08:39:34:;488;5;0;
08:39:50:;489;8;0;
08:39:50:;490;6;0;
08:39:57:;491;0;3;
08:40:01:;492;3;0;
08:40:37:;493;7;0;
08:41:19:;494;2;0;
08:41:27:;495;6;0;
08:42:14:;496;7;0;
08:42:18:;497;4;0;
08:42:30:;498;6;0;
08:42:53:;499;5;0;
08:43:01:;500;3;0;
08:43:16:;501;6;0;
08:43:41:;502;2;0;
08:44:01:;503;1;0;
08:44:08:;504;1;0;
08:44:19:;505;7;0;
08:44:29:;506;7;1;
08:44:40:;507;1;0;
08:44:48:;508;7;0;
08:45:01:;509;0;5;
08:45:19:;510;0;4;
08:45:19:;511;8;2;
08:45:27:;512;9;0;
08:45:32:;513;6;0;
08:45:38:;514;5;0;
08:45:42:;515;6;0;
08:45:48:;516;6;0;
08:46:23:;517;0;9;
08:46:24:;518;7;0;
08:46:31:;519;2;0;
08:46:35:;520;8;0;
08:47:46:;521;6;0;
08:47:47:;522;8;0;
08:48:49:;523;5;0;
08:48:50:;524;7;0;
08:49:08:;525;7;0;
08:49:17:;526;4;0;
08:49:33:;527;0;9;
08:49:45:;528;0;9;
08:50:00:;529;5;0;
08:50:47:;530;7;0;
08:51:16:;531;6;0;
08:51:19:;532;0;4;
08:52:13:;533;4;0;
08:52:23:;534;9;0;
08:52:41:;535;4;0;
08:53:06:;536;7;0;
08:53:07:;537;7;0;
08:53:11:;538;9;0;
08:53:23:;539;1;7;
08:55:58:;540;0;4;
08:56:21:;541;4;0;
08:56:31:;542;7;0;
08:57:05:;543;0;4;
08:57:05:;544;8;0;
08:58:25:;545;7;0;
09:00:31:;546;0;5;
09:00:34:;547;2;0;
09:00:58:;548;7;8;
09:01:46:;549;8;0;
09:02:47:;550;8;0;
09:02:56:;551;0;2;
09:03:12:;552;3;0;
09:03:54:;553;7;0;
09:04:02:;554;4;0;
09:04:21:;555;1;0;
09:04:22:;556;4;0;
09:04:22:;557;5;0;
09:05:30:;558;2;0;
09:05:37:;559;8;0;
09:05:48:;560;6;0;
09:06:10:;561;7;0;
09:06:13:;562;9;0;
09:06:14:;563;0;4;
09:06:22:;564;5;0;
09:06:32:;565;4;0;
09:07:00:;566;3;0;
09:07:34:;567;6;0;
09:07:34:;568;1;0;
09:07:39:;569;6;0;
09:08:00:;570;2;0;
09:08:59:;571;6;0;
09:09:18:;572;6;0;
09:09:31:;573;6;0;
09:09:51:;574;1;0;
09:10:21:;575;3;0;
09:10:35:;576;9;0;
09:10:53:;577;4;0;
09:11:31:;578;2;0;
09:11:33:;579;8;0;
09:12:05:;580;5;0;
09:12:35:;581;5;0;
09:12:52:;582;9;0;
09:13:40:;583;2;0;
09:14:24:;584;3;0;
09:14:32:;585;5;0;
09:15:15:;586;3;0;
09:15:44:;587;8;0;
09:15:52:;588;0;7;
09:16:17:;589;8;0;
09:16:41:;590;8;6;
09:16:58:;591;8;0;
09:19:01:;592;5;9;
09:19:27:;593;2;0;
09:19:36:;594;3;0;
09:20:24:;595;0;5;
09:20:47:;596;5;0;
09:21:14:;597;0;8;
09:21:40:;598;9;0;
09:23:17:;599;2;1;
09:24:04:;600;8;0;
09:24:51:;601;0;6;
09:24:58:;602;0;2;
09:25:10:;603;6;0;
09:25:25:;604;2;0;
09:25:33:;605;4;0;
09:25:59:;606;5;0;
09:26:13:;607;5;0;
09:26:26:;608;9;0;
09:26:35:;609;4;0;
09:28:18:;610;3;0;
09:29:10:;611;5;0;
09:29:21:;612;0;5;
09:29:26:;613;4;0;
09:30:02:;614;7;0;
09:30:36:;615;0;9;
09:30:42:;616;6;0;
09:31:59:;617;9;0;
09:33:12:;618;5;0;
09:33:14:;619;8;0;
09:34:30:;620;5;0;
09:34:30:;621;6;0;
09:34:38:;622;7;8;
09:34:46:;623;8;0;
09:35:28:;624;0;5;
09:36:30:;625;0;6;
09:36:58:;626;8;0;
09:37:02:;627;0;7;
09:37:12:;628;6;0;
09:37:31:;629;1;0;
09:38:11:;630;9;0;
09:40:14:;631;4;0;
09:40:52:;632;9;0;
09:41:53:;633;4;0;
09:41:55:;634;4;0;
09:42:54:;635;0;6;
09:43:35:;636;6;0;
09:43:50:;637;0;9;
09:46:51:;638;3;0;
09:48:07:;639;0;6;
09:48:30:;640;1;0;
09:48:57:;641;7;0;
09:49:12:;642;4;0;
09:49:28:;643;0;3;
09:49:46:;644;5;0;
09:50:31:;645;5;0;
09:51:00:;646;5;0;
09:51:05:;647;2;0;
09:51:13:;648;0;4;
09:51:29:;649;8;0;
09:51:45:;650;8;0;
09:53:03:;651;5;0;
09:54:00:;652;3;0;
09:54:36:;653;0;1;
09:54:51:;654;1;0;
09:55:12:;655;4;0;
09:56:02:;656;0;8;
09:56:24:;657;3;0;
09:57:03:;658;1;0;
09:57:50:;659;7;0;
09:58:31:;660;9;0;
09:58:41:;661;3;0;
09:58:44:;662;8;0;
10:00:19:;663;6;0;
10:00:23:;664;1;0;
10:00:28:;665;4;0;
10:02:04:;666;6;0;
10:03:19:;667;0;3;
10:03:32:;668;9;0;
10:03:45:;669;5;0;
10:04:23:;670;0;3;
10:04:41:;671;0;6;
10:04:55:;672;5;0;
10:06:37:;673;0;4;
10:07:04:;674;0;4;
10:07:36:;675;4;5;
10:07:43:;676;0;4;
10:07:44:;677;0;1;
10:08:11:;678;6;0;
10:08:29:;679;0;2;
10:10:04:;680;2;0;
10:10:08:;681;9;0;
10:10:24:;682;0;8;
10:11:57:;683;0;5;
10:13:16:;684;1;0;
10:13:32:;685;6;0;
10:13:57:;686;5;0;
10:15:27:;687;0;8;
10:16:09:;688;9;0;
10:16:36:;689;8;0;
10:16:55:;690;3;0;
10:17:52:;691;0;5;
10:17:57:;692;6;0;
10:19:09:;693;9;0;
10:19:16:;694;1;0;
10:19:18:;695;4;0;
10:20:22:;696;2;0;
10:21:37:;697;6;0;
10:23:59:;698;0;9;
10:24:15:;699;0;5;
10:24:23:;700;9;0;
10:25:13:;701;0;3;
10:25:15:;702;5;0;
10:25:59:;703;4;0;
10:29:48:;704;1;0;
10:30:34:;705;0;4;
10:31:29:;706;8;2;
10:32:15:;707;0;4;
10:33:30:;708;0;4;
10:34:42:;709;0;3;
10:35:21:;710;6;0;
10:35:50:;711;0;8;
10:36:11:;712;8;0;
10:36:20:;713;8;0;
10:36:25:;714;0;3;
10:39:34:;715;9;0;
10:40:12:;716;0;7;
10:40:18:;717;7;0;
10:40:30:;718;0;2;
10:43:36:;719;0;3;
10:43:39:;720;3;0;
10:46:31:;721;5;0;
10:46:44:;722;0;6;
10:46:55:;723;3;0;
10:47:02:;724;2;0;
10:47:31:;725;6;0;
10:48:21:;726;3;0;
10:48:30:;727;0;7;
10:49:38:;728;1;0;
10:49:53:;729;0;8;
10:50:22:;730;0;5;
10:51:21:;731;5;0;
10:53:16:;732;0;1;
10:56:06:;733;2;0;
10:56:35:;734;3;0;
10:57:31:;735;8;0;
11:01:08:;736;8;0;
11:03:14:;737;5;0;
11:03:27:;738;3;0;
11:03:45:;739;8;0;
11:04:49:;740;0;9;
11:05:52:;741;0;1;
11:06:00:;742;1;0;
11:06:55:;743;0;4;
11:06:55:;744;0;4;
11:07:03:;745;1;8;
11:07:04:;746;6;0;
11:07:04:;747;6;0;
11:07:31:;748;2;0;
11:09:03:;749;7;0;
11:09:39:;750;0;6;
11:10:00:;751;0;3;
11:11:14:;752;7;0;
11:11:26:;753;9;0;
11:11:28:;754;0;8;
11:11:33:;755;6;2;
11:12:30:;756;9;0;
11:13:11:;757;0;2;
11:15:29:;758;0;1;
11:16:34:;759;0;5;
11:18:06:;760;4;1;
11:20:19:;761;0;7;
11:20:56:;762;1;0;
11:21:02:;763;8;0;
11:21:02:;764;5;0;
11:22:12:;765;1;0;
11:22:23:;766;4;0;
11:23:00:;767;0;2;
11:24:37:;768;5;0;
11:25:02:;769;6;0;
11:25:23:;770;0;9;
11:25:32:;771;3;0;
11:29:37:;772;5;0;
11:29:39:;773;0;7;
11:29:48:;774;0;7;
11:30:02:;775;2;4;
11:30:41:;776;0;7;
11:30:44:;777;0;9;
11:31:25:;778;5;0;
11:32:26:;779;6;0;
11:32:32:;780;0;3;
11:33:04:;781;3;0;
11:37:04:;782;6;1;
11:37:18:;783;8;0;
11:39:23:;784;0;8;
11:39:30:;785;0;2;
11:42:09:;786;4;0;
11:43:00:;787;0;5;
11:44:42:;788;4;0;
11:44:43:;789;3;0;
11:45:47:;790;5;4;
11:47:05:;791;3;0;
11:47:13:;792;7;0;
11:47:19:;793;8;0;
11:49:31:;794;1;0;
11:50:01:;795;0;4;
11:51:47:;796;5;0;
11:52:10:;797;0;1;
11:53:37:;798;0;3;
11:53:57:;799;3;0;
11:54:34:;800;4;0;
11:54:41:;801;2;0;
11:55:29:;802;0;9;
11:56:07:;803;0;4;
11:56:30:;804;6;0;
11:57:56:;805;0;8;
11:58:00:;806;6;0;
11:59:05:;807;0;1;
11:59:54:;808;2;0;
12:00:25:;809;0;2;
12:01:30:;810;0;7;
12:01:46:;811;6;0;
12:02:03:;812;0;6;
12:03:09:;813;8;0;
12:06:24:;814;0;4;
12:07:47:;815;0;9;
12:08:01:;816;0;2;
12:08:46:;817;0;8;
12:08:54:;818;8;0;
12:09:24:;819;5;0;
12:09:53:;820;0;3;
12:11:04:;821;6;0;
12:12:09:;822;0;4;
12:13:39:;823;0;4;
12:13:58:;824;2;0;
12:14:54:;825;0;6;
12:15:41:;826;0;5;
12:15:41:;827;0;9;
12:16:11:;828;0;6;
12:16:33:;829;7;0;
12:16:35:;830;0;6;
12:16:41:;831;6;0;
12:17:37:;832;3;0;
12:17:47:;833;9;0;
12:17:59:;834;0;7;
12:18:42:;835;5;0;
12:19:50:;836;8;0;
12:19:55:;837;7;0;
12:21:00:;838;2;0;
12:22:18:;839;0;8;
12:22:36:;840;5;0;
12:22:44:;841;1;0;
12:22:52:;842;8;0;
12:23:26:;843;8;0;
12:23:38:;844;0;1;
12:23:49:;845;0;4;
12:24:02:;846;0;7;
12:25:41:;847;0;8;
12:25:45:;848;0;4;
12:26:09:;849;4;0;
12:26:20:;850;0;6;
12:26:51:;851;4;0;
12:27:35:;852;0;5;
12:28:14:;853;9;0;
12:28:30:;854;0;2;
12:30:32:;855;8;0;
12:32:44:;856;0;6;
12:32:53:;857;0;4;
12:33:01:;858;0;6;
12:39:16:;859;0;2;
12:40:13:;860;9;0;
12:41:54:;861;0;2;
12:42:01:;862;0;1;
12:42:22:;863;8;0;
12:43:02:;864;9;0;
12:43:08:;865;0;1;
12:43:34:;866;3;0;
12:43:36:;867;8;0;
12:44:48:;868;4;0;
12:45:22:;869;0;9;
12:47:12:;870;5;0;
12:47:15:;871;0;5;
12:48:25:;872;0;6;
12:49:03:;873;0;9;
12:49:08:;874;3;0;
12:49:51:;875;9;0;
12:53:20:;876;8;0;
12:53:43:;877;0;6;
12:55:09:;878;4;0;
12:57:34:;879;9;0;
12:58:00:;880;0;3;
12:58:49:;881;0;1;
12:59:15:;882;9;0;
13:01:38:;883;0;7;
13:02:05:;884;0;5;
13:03:04:;885;1;0;
13:04:46:;886;0;5;
13:04:52:;887;0;9;
13:04:59:;888;0;6;
13:06:50:;889;0;9;
13:07:27:;890;6;0;
13:08:33:;891;0;5;
13:08:56:;892;4;0;
13:09:08:;893;5;0;
13:11:11:;894;8;0;
13:11:20:;895;3;0;
13:11:38:;896;2;0;
13:11:49:;897;0;4;
13:11:57:;898;9;0;
13:12:35:;899;0;9;
13:14:05:;900;0;3;
13:14:10:;901;3;0;
13:15:07:;902;5;0;
13:15:47:;903;0;5;
13:16:02:;904;8;0;
13:17:47:;905;0;2;
13:18:00:;906;0;6;
13:18:24:;907;0;7;
13:18:31:;908;3;0;
13:18:34:;909;0;3;
13:19:19:;910;6;0;
13:19:34:;911;7;0;
13:19:34:;912;0;1;
13:19:38:;913;6;0;
13:20:02:;914;0;2;
13:20:15:;915;7;0;
13:20:44:;916;3;0;
13:22:15:;917;0;4;
13:23:03:;918;6;0;
13:23:16:;919;0;8;
13:25:58:;920;7;0;
13:26:10:;921;0;6;
13:26:57:;922;5;0;
13:29:22:;923;4;0;
13:30:46:;924;0;8;
13:31:29:;925;0;2;
13:32:14:;926;0;4;
13:33:31:;927;0;5;
13:34:48:;928;0;9;
13:35:08:;929;0;7;
13:36:27:;930;5;0;
13:36:33:;931;0;2;
13:36:34:;932;0;6;
13:36:57:;933;0;6;
13:37:39:;934;2;0;
13:38:00:;935;0;4;
13:38:01:;936;5;2;
13:38:55:;937;2;0;
13:39:12:;938;7;0;
13:39:31:;939;0;2;
13:39:44:;940;0;5;
13:41:26:;941;0;2;
13:42:54:;942;8;0;
13:43:09:;943;3;0;
13:43:53:;944;5;0;
13:44:08:;945;0;9;
13:44:49:;946;8;0;
13:45:10:;947;0;3;
13:45:21:;948;0;4;
13:47:10:;949;8;0;
13:48:24:;950;6;0;
13:49:13:;951;0;2;
13:49:38:;952;6;0;
13:49:53:;953;0;5;
13:50:24:;954;2;8;
13:51:09:;955;0;5;
13:51:36:;956;9;0;
13:52:25:;957;0;9;
13:52:35:;958;1;0;
13:52:38:;959;0;6;
13:53:48:;960;0;6;
13:53:48:;961;0;2;
13:55:16:;962;0;7;
13:55:16:;963;3;0;
13:55:37:;964;0;6;
13:55:38:;965;2;0;
13:57:39:;966;0;3;
13:59:12:;967;5;0;
13:59:50:;968;6;0;
14:00:05:;969;0;8;
14:03:21:;970;0;6;
14:03:41:;971;0;7;
14:04:12:;972;0;1;
14:04:26:;973;2;0;
14:04:26:;974;1;0;
14:04:32:;975;0;5;
14:05:04:;976;0;4;
14:05:07:;977;0;3;
14:05:07:;978;5;0;
14:05:07:;979;6;0;
14:06:30:;980;1;0;
14:06:42:;981;0;4;
14:07:10:;982;0;6;
14:07:34:;983;5;0;
14:09:04:;984;0;7;
14:09:21:;985;0;8;
14:09:35:;986;3;0;
14:09:56:;987;0;4;
14:10:15:;988;0;2;
14:11:12:;989;9;0;
14:12:52:;990;0;1;
14:13:25:;991;0;2;
14:13:45:;992;0;7;
14:14:12:;993;0;6;
14:14:38:;994;0;7;
